# Feature / Sample,Validation|LLDeep_0001,Validation|LLDeep_0003,Validation|LLDeep_0010,Validation|LLDeep_0011,Validation|LLDeep_0012,Validation|LLDeep_0015,Validation|LLDeep_0018,Validation|LLDeep_0021,Validation|LLDeep_0022,Validation|LLDeep_0024,Validation|LLDeep_0026,Validation|LLDeep_0027,Validation|LLDeep_0028,Validation|LLDeep_0029,Validation|LLDeep_0030,Validation|LLDeep_0033,Validation|LLDeep_0034,Validation|LLDeep_0037,Validation|LLDeep_0039,Validation|LLDeep_0043,Validation|LLDeep_0047,Validation|LLDeep_0052,Validation|UMCGIBD00072,Validation|UMCGIBD00122,Validation|UMCGIBD00030,Validation|UMCGIBD00167,Validation|UMCGIBD00208,Validation|UMCGIBD00032,Validation|UMCGIBD00529,Validation|UMCGIBD00371,Validation|UMCGIBD00145,Validation|UMCGIBD00613,Validation|UMCGIBD00004,Validation|UMCGIBD00053,Validation|UMCGIBD00269,Validation|UMCGIBD00250,Validation|UMCGIBD00327,Validation|UMCGIBD00249,Validation|UMCGIBD00461,Validation|UMCGIBD00266,Validation|UMCGIBD00347,Validation|UMCGIBD00645,Validation|UMCGIBD00361,Validation|UMCGIBD00485,Validation|UMCGIBD00041,Validation|UMCGIBD00126,Validation|UMCGIBD00082,Validation|UMCGIBD00442,Validation|UMCGIBD00412,Validation|UMCGIBD00539,Validation|UMCGIBD00077,Validation|UMCGIBD00141,Validation|UMCGIBD00389,Validation|UMCGIBD00112,Validation|UMCGIBD00508,Validation|UMCGIBD00588,Validation|UMCGIBD00106,Validation|UMCGIBD00393,Validation|UMCGIBD00458,Validation|UMCGIBD00254,Validation|UMCGIBD00593,Validation|UMCGIBD00233,Validation|UMCGIBD00238,Validation|UMCGIBD00027,Validation|UMCGIBD00064
Methanosphaera_stadtmanae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rothia_mucilaginosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Propionibacterium_freudenreichii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bifidobacterium_adolescentis,0.0288351,0.0,0.0001422,0.11216199999999998,0.09413819999999999,0.139166,0.0205069,0.0538125,0.0938725,0.123543,0.000168,0.0,0.0983975,0.0,0.06799680000000001,6.34e-05,0.117373,0.22832800000000003,0.0005349,0.361701,0.0767975,0.0119583,0.173768,0.0277341,4.55e-05,0.0732549,0.0,0.0,0.0,1.36e-05,1.07e-05,0.0477856,0.0308816,0.176097,0.19441,0.0,0.0160154,0.0,0.0,0.260875,0.19145,0.0,0.0,0.0,0.0,0.0,0.0,0.277727,0.0437212,0.19159,0.0019576,0.0,0.159625,0.14821900000000002,0.126038,0.031199,0.0,0.0001091,0.11614000000000001,0.0,0.288639,0.134661,0.06212430000000001,0.0,1.18e-05
Bifidobacterium_animalis,0.0,0.0,0.0,0.0,0.0,0.0,0.025793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015026,0.0,0.0,0.0,0.0,8.669999999999999e-05,0.0010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37e-05,0.0,0.0511327,0.0,0.0003968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080725,0.0,0.0,0.0,0.0,0.0
Bifidobacterium_bifidum,0.0,0.0,0.0,0.0035095,0.0,0.0209342,3.87e-05,0.008254799999999998,0.008960700000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026614999999999996,2.8999999999999998e-06,0.08092919999999999,0.0288675,0.025607799999999997,0.0148215,0.074875,0.0,0.0316396,0.0,0.0,0.047129199999999996,0.0,0.0,0.021148300000000002,0.0,0.0627258,0.122971,0.11096600000000001,0.02189,0.0,0.0,0.08451489999999999,0.0,0.13300399999999998,0.0017939,0.0,0.0,0.12241700000000001,0.09546610000000001,0.0026696,0.037012,0.053484000000000004,0.0,0.0,0.0119021,0.0,0.11309200000000001,0.0,0.0,0.0,0.0,0.0091613,0.0,0.0,0.030159,0.0,0.170149
Bifidobacterium_breve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bifidobacterium_catenulatum,0.0,0.0,0.0,0.0160828,0.0,0.0,0.0,0.0,0.0,0.0018809999999999999,0.0,0.0,0.0,0.0,0.0,0.0537434,0.0752773,0.0,0.0,1.4800000000000002e-05,0.0,0.025668599999999996,0.00042080000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028113000000000005,0.0014103,0.0001685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004026,0.0,0.0
Bifidobacterium_dentium,0.0,0.0,0.001759,0.0,0.0,0.0,0.0,0.0,0.0,0.0016384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32e-05,0.0007675,0.00028110000000000006,0.058313800000000006,0.0015871,0.00038439999999999997,0.0028061,7.64e-05,0.0,0.0,0.0,0.0,0.0,0.0002807,0.0,0.0,6.54e-05,0.0037070000000000002,0.00014069999999999998,0.0,0.0,4.16e-05,0.0,0.0,0.0,0.0,8.1e-05,0.0160421,0.0024617,0.0,0.0,0.0,0.0
Bifidobacterium_longum,0.017491,0.15921300000000002,0.201164,0.09805789999999999,0.023521200000000003,0.009895999999999999,0.0004434,0.0038289,0.017043,0.0064730000000000005,0.0001136,0.0970997,0.012724899999999999,0.194806,0.0033034999999999996,0.13863499999999998,0.07121260000000001,0.152256,0.00031460000000000006,0.028697700000000003,0.20263299999999998,0.0384237,0.0731087,0.017780400000000002,0.0,0.017643400000000004,0.0,0.0183197,0.0661313,0.166352,0.037841900000000005,0.011225299999999999,0.0369163,0.15254500000000001,0.220273,0.035552999999999994,0.0207203,0.125058,0.0,0.039937900000000005,0.09390219999999999,0.0592698,0.029436,0.11468900000000001,0.0,0.520842,0.0478424,0.06800389999999999,0.08886010000000001,0.06737,0.0090804,0.0042141999999999995,0.024375099999999997,0.0026478,0.0204273,0.161233,0.0,0.0893424,0.0034214,0.0001084,0.0262906,0.0173193,0.0974422,0.0,0.0003197
