Compound_Name,10863.107.1.a,10863.107.2,10863.107.3,10863.107.5,10863.107.7,10863.107.8,10863.146.1.a,10863.146.1.b,10863.146.2,10863.146.3,10863.146.4,10863.146.5,10863.146.6,10863.146.7,10863.146.8,10863.146.9,10863.148.1.a,10863.148.1.b,10863.148.2,10863.148.3,10863.148.4,10863.148.5,10863.148.6,10863.148.7,10863.148.8,10863.148.9,10863.157.1.a,10863.157.1.b,10863.157.2,10863.157.3,10863.157.4,10863.157.5,10863.157.6,10863.157.7,10863.157.8,10863.157.9,10863.178.1.a,10863.178.1.b,10863.178.2,10863.178.3,10863.178.4,10863.178.5,10863.178.6,10863.178.7,10863.178.8,10863.178.9,10863.179.1.b,10863.179.2,10863.179.3,10863.179.4,10863.179.5,10863.179.6,10863.179.7,10863.179.8,10863.179.9,10863.187.1.a,10863.187.1.b,10863.187.2,10863.187.3,10863.187.4,10863.187.5,10863.187.6,10863.187.8,10863.187.9,10863.228.1.a,10863.228.1.b,10863.228.2,10863.228.3,10863.228.4,10863.228.5,10863.228.6,10863.228.7,10863.228.8,10863.228.9,10863.243.1.a,10863.243.1.b,10863.243.2,10863.243.3,10863.243.4,10863.243.5,10863.243.6,10863.243.7.BLANK,10863.243.8,10863.243.9,10863.259.1.a,10863.259.1.b,10863.259.2,10863.259.3,10863.259.4,10863.259.5,10863.259.6,10863.259.7,10863.259.8,10863.259.9,10863.272.1.a,10863.272.1.b,10863.272.2,10863.272.3,10863.272.4,10863.272.5,10863.272.6,10863.272.7,10863.272.8,10863.272.9,10863.328.1.a,10863.328.1.b,10863.328.2,10863.328.3,10863.328.4,10863.328.5,10863.328.6,10863.328.7,10863.328.8,10863.328.9,10863.34.1.a,10863.34.1.b,10863.34.2,10863.34.3,10863.34.4,10863.34.6,10863.34.7,10863.34.8,10863.34.9,10863.348.1.a,10863.348.1.b,10863.348.2,10863.348.3,10863.348.4,10863.348.5,10863.348.6,10863.348.7,10863.348.8,10863.348.9,10863.350.1.a,10863.350.1.b,10863.350.2,10863.350.3,10863.350.4,10863.350.5,10863.350.6,10863.350.7,10863.350.8,10863.350.9,10863.353.1.a,10863.353.1.b,10863.353.2,10863.353.3,10863.353.4,10863.353.5,10863.353.6,10863.353.7,10863.353.8,10863.353.9,10863.49.1.a,10863.49.1.b,10863.49.2,10863.49.3,10863.49.4,10863.49.5,10863.49.6,10863.49.7,10863.49.8,10863.49.9,10863.69.1.a,10863.69.1.b,10863.69.2,10863.69.3,10863.69.4,10863.69.6,10863.69.7,10863.69.8,10863.69.9
(-)-Riboflavin,0.0,0.0,0.0,18499.0,0.0,0.0,0.0,0.0,0.0,0.0,92182.0,163750.0,67922.0,75766.0,142467.0,207154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44012.0,44012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63822.0,63822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50739.0,27997.0,39958.0,0.0,41589.0,40947.0,0.0,0.0,69696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47644.0,46420.0,42412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65997.0,65997.0,120899.0,0.0,57371.0,0.0,0.0,47092.0,42384.0,267335.0,239050.0,323270.0,303872.0,267424.0,281379.0,279135.0,294677.0,272173.0,267335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2S,3S)-(-)-3-Phenylglycidol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36615.0,0.0,28367.0,0.0,0.0,69670.0,0.0,0.0,29833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30222.0,30471.0,30471.0,45548.0,54322.0,49487.0,59779.0,34894.0,0.0,0.0,30471.0,0.0,0.0,0.0,0.0,0.0,26597.0,74413.0,19858.0,0.0,0.0,61385.0,81747.0,37305.0,98892.0,0.0,89760.0,167017.0,250050.0,94296.0,61385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585138.0,1055544.0,1027773.0,382094.0,1237560.0,413157.0,462986.0,586430.0,617808.0,585138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1586838.0,1586838.0,1123040.0,339881.0,1257912.0,1519530.0,946211.0,1484148.0,532147.0
.gamma.-Phenyl-.gamma.-butyrolactone,0.0,0.0,0.0,0.0,0.0,0.0,570235.0,570235.0,0.0,87450.0,0.0,0.0,0.0,0.0,0.0,0.0,395464.0,395464.0,340878.0,316405.0,182543.0,82968.0,62592.0,0.0,0.0,0.0,4240577.0,4240577.0,2687119.0,881092.0,498549.0,128275.0,83252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553876.0,162159.0,72602.0,0.0,0.0,0.0,0.0,0.0,0.0,1278479.0,1278479.0,2234626.0,1270608.0,454345.0,749222.0,1609245.0,67093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656483.0,685303.0,879389.0,382193.0,428643.0,744027.0,95329.0,36657.0,0.0,656483.0,212340.0,212340.0,43914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38722.0,0.0,0.0,0.0,39394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1(6H)-Pyridazinebutanoic acid, 6-imino-3-(4-methoxyphenyl)-",2364716.0,1225666.0,1099604.0,1059113.0,656313.0,268062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75159.0,75159.0,51308.0,45117.0,31301.0,42859.0,65818.0,49439.0,53400.0,27089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366951.0,108876.0,154730.0,56796.0,77777.0,160761.0,79115.0,76755.0,96480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41446.0,41446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41446.0,0.0,0.0,0.0,0.0,0.0,20380.0,52967.0,30479.0,0.0,0.0,47157.0,82192.0,40620.0,63090.0,0.0,0.0,0.0,0.0,0.0,47157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321093.0,321093.0,460983.0,120890.0,179876.0,95237.0,45087.0,82431.0,45238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90042.0,0.0,0.0,55986.0,0.0,0.0,43923.0,41564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434928.0,434928.0,420158.0,236756.0,441639.0,294120.0,66141.0,104523.0,0.0
"1,2-Dimethoxy-4-(2-propenyl)benzene",0.0,0.0,0.0,0.0,0.0,0.0,46102.0,46102.0,34706.0,92069.0,70814.0,86373.0,0.0,49392.0,47436.0,53693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528452.0,528452.0,104376.0,93651.0,96438.0,80389.0,119490.0,89918.0,98964.0,50079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67036.0,43534.0,59940.0,0.0,41898.0,53749.0,45697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1,2-dioleoyl-sn-glycero-3-phosphatidylcholine",0.0,0.0,0.0,0.0,0.0,159721.0,0.0,0.0,454885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294280.0,778708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75460.0,0.0,0.0,0.0,0.0,169587.0,55541.0,0.0,0.0,0.0,232256.0,0.0,0.0,0.0,0.0,0.0,165258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280386.0,0.0,0.0,0.0,0.0,446754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468317.0,315627.0,227879.0,187806.0,0.0,0.0,0.0,0.0,2268080.0,0.0,728579.0,0.0,0.0,0.0,703567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121656.0,335867.0,466243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738506.0,0.0,0.0,0.0
1-Eicosatrienoyl-sn-glycero-3-phosphoethanolamine,0.0,51122.0,96612.0,87664.0,77493.0,111538.0,33702.0,33702.0,70264.0,114071.0,126013.0,164871.0,243361.0,162551.0,244246.0,197222.0,160536.0,160536.0,98664.0,108697.0,81180.0,56016.0,121560.0,103259.0,90365.0,84831.0,883827.0,883827.0,417142.0,255481.0,154988.0,202096.0,145942.0,144742.0,254519.0,151841.0,56506.0,56506.0,79976.0,96355.0,185495.0,244654.0,186760.0,219683.0,312273.0,222395.0,397771.0,144741.0,133086.0,106432.0,86396.0,109239.0,113026.0,106723.0,100762.0,405037.0,405037.0,382340.0,320866.0,271006.0,383132.0,286318.0,145544.0,107545.0,132458.0,132458.0,268412.0,264132.0,191570.0,172335.0,244169.0,143480.0,239962.0,178932.0,0.0,0.0,153353.0,153811.0,245805.0,213278.0,141843.0,130295.0,160849.0,0.0,0.0,114927.0,0.0,74704.0,98780.0,128270.0,141330.0,88983.0,66066.0,0.0,108390.0,100052.0,105925.0,90100.0,0.0,165309.0,120829.0,147248.0,92072.0,108390.0,324421.0,480620.0,293337.0,166665.0,180013.0,282898.0,142343.0,123683.0,106136.0,324421.0,171678.0,171678.0,158602.0,100131.0,126200.0,123102.0,120218.0,175179.0,151501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99559.0,91499.0,91854.0,0.0,65237.0,58681.0,54562.0,66634.0,70520.0,99559.0,124145.0,166484.0,209633.0,211302.0,168928.0,183299.0,170305.0,185165.0,259134.0,124145.0,47092.0,47092.0,87294.0,147860.0,121189.0,119861.0,122644.0,112505.0,152105.0,142204.0,0.0,0.0,0.0,0.0,140191.0,144446.0,134520.0,175804.0,136138.0
1-Hexadecyl-sn-glycero-3-phosphocholine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48101.0,0.0,0.0,0.0,0.0,0.0,46946.0,0.0,58605.0,35409.0,37148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30652.0,83325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188193.0,0.0,86464.0,0.0,0.0,0.0,0.0,0.0,0.0,46858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91335.0,60610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65710.0,0.0,0.0,38279.0,0.0,0.0,59901.0,0.0,53551.0,0.0,0.0,0.0,52386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43581.0,61530.0,0.0,0.0,0.0,0.0,0.0,19547.0,0.0,0.0,0.0,43236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47900.0,64979.0,44433.0,0.0,0.0,29251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-O-Hexadecyl-2-O-acetyl-sn-glyceryl-3-phosphorylcholine,310287.0,0.0,0.0,66837.0,86146.0,44583.0,328117.0,328117.0,0.0,108690.0,99621.0,124969.0,96801.0,155577.0,97882.0,104643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43527.0,0.0,0.0,0.0,0.0,0.0,31225.0,0.0,51159.0,0.0,0.0,0.0,0.0,0.0,42062.0,82573.0,185957.0,107184.0,149851.0,177842.0,178216.0,133267.0,0.0,48150.0,0.0,0.0,0.0,53143.0,63730.0,44442.0,0.0,0.0,0.0,104036.0,0.0,0.0,128137.0,67379.0,116479.0,125002.0,125002.0,127608.0,171495.0,175594.0,131080.0,147949.0,57858.0,133592.0,141851.0,0.0,0.0,0.0,52893.0,52599.0,40867.0,49557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104497.0,204243.0,62490.0,0.0,0.0,120055.0,145670.0,0.0,58606.0,0.0,116937.0,67495.0,151211.0,113611.0,120055.0,0.0,0.0,0.0,0.0,0.0,98885.0,54659.0,97575.0,115287.0,0.0,42762.0,42762.0,84435.0,92018.0,65873.0,95895.0,78659.0,122205.0,113517.0,0.0,0.0,0.0,0.0,0.0,36953.0,0.0,35430.0,69204.0,0.0,0.0,0.0,43238.0,0.0,0.0,0.0,0.0,0.0,41648.0,0.0,0.0,59245.0,85246.0,60587.0,0.0,0.0,0.0,0.0,56308.0,0.0,0.0,0.0,114067.0,123996.0,0.0,109194.0,0.0,58085.0,150480.0,135301.0,0.0,0.0,0.0,0.0,43930.0,0.0,57150.0,0.0,46623.0
1-O-Octadecyl-sn-glyceryl-3-phosphorylcholine,83298.0,307096.0,327106.0,300660.0,188527.0,257275.0,345801.0,345801.0,311365.0,474344.0,430699.0,603593.0,525646.0,551839.0,565441.0,544306.0,71369.0,71369.0,0.0,59951.0,85740.0,120856.0,305540.0,363833.0,332932.0,329954.0,167728.0,167728.0,94008.0,122844.0,157352.0,176231.0,184663.0,257464.0,189793.0,179353.0,225216.0,225216.0,252043.0,162329.0,448656.0,616936.0,437224.0,482045.0,545272.0,516042.0,30608.0,141122.0,125158.0,117540.0,124162.0,123560.0,173609.0,128489.0,137189.0,100973.0,100973.0,109549.0,402000.0,164857.0,392446.0,211525.0,326206.0,394370.0,302714.0,302714.0,391451.0,411473.0,484278.0,586142.0,353793.0,318504.0,414421.0,439916.0,0.0,0.0,145352.0,207394.0,163461.0,142380.0,193449.0,134440.0,140649.0,0.0,73756.0,307618.0,129575.0,344326.0,376071.0,477394.0,901123.0,415034.0,456029.0,73756.0,370258.0,393830.0,348695.0,426919.0,137958.0,467651.0,413400.0,456423.0,391321.0,370258.0,80476.0,81952.0,190823.0,97664.0,166067.0,161389.0,250862.0,159775.0,242849.0,80476.0,265960.0,265960.0,124247.0,164214.0,219875.0,292965.0,209723.0,272915.0,241251.0,0.0,612299.0,506094.0,570867.0,652793.0,603742.0,619794.0,523137.0,461297.0,0.0,63742.0,129256.0,142831.0,0.0,60908.0,68787.0,66990.0,128110.0,88203.0,63742.0,109455.0,154599.0,218101.0,200841.0,142486.0,282434.0,179048.0,250381.0,161011.0,109455.0,364425.0,364425.0,518755.0,570077.0,520040.0,570457.0,549546.0,626107.0,669941.0,643047.0,57830.0,57830.0,42662.0,34753.0,162865.0,180119.0,256558.0,122686.0,247088.0
