,18hr_early,18hr_earlymid,18hr_late,18hr_latemid,3min_early,3min_earlymid,3min_late,3min_latemid,42hr_early,42hr_earlymid,42hr_late,42hr_latemid,49p5hr_early,49p5hr_earlymid,49p5hr_late,49p5hr_latemid,9hr_early,9hr_earlymid,9hr_latemid
rplo 1 (Cyanobacteria),3771.0,1016.0,976.0,1538.0,4121.0,4489.0,5313.0,2032.0,2117.0,1417.0,765.0,113.0,301.0,677.0,49.0,70.0,2077.0,1551.0,2157.0
rplo 2 (Firmicutes),2592.0,19.0,0.0,6867.0,0.0,25.0,0.0,0.0,1781.0,2435.0,152.0,1641.0,195.0,302.0,241.0,731.0,3832.0,3523.0,4843.0
rplo 60 (Firmicutes),0.0,231.0,174.0,128.0,0.0,0.0,0.0,0.0,0.0,47.0,51.0,628.0,49.0,569.0,0.0,63.0,0.0,0.0,0.0
rplo 7 (Actinobacteria),457.0,285.0,170.0,330.0,196.0,122.0,337.0,171.0,508.0,310.0,252.0,233.0,363.0,328.0,22.0,248.0,488.0,345.0,326.0
rplo 10 (Firmicutes),775.0,0.0,0.0,666.0,0.0,0.0,0.0,0.0,720.0,0.0,152.0,871.0,341.0,2289.0,0.0,0.0,0.0,0.0,0.0
rplo 100 (Proteobacteria),55.0,0.0,0.0,19.0,132.0,56.0,91.0,16.0,29.0,35.0,171.0,25.0,36.0,45.0,130.0,31.0,33.0,44.0,18.0
rplo 101 (Proteobacteria),74.0,0.0,25.0,26.0,0.0,0.0,0.0,66.0,21.0,16.0,26.0,0.0,917.0,92.0,0.0,0.0,0.0,20.0,24.0
rplo 102 (Actinobacteria),130.0,138.0,23.0,46.0,80.0,21.0,0.0,20.0,56.0,128.0,92.0,0.0,0.0,27.0,40.0,0.0,81.0,53.0,21.0
rplo 103 (Actinobacteria),267.0,197.0,0.0,0.0,0.0,20.0,0.0,0.0,240.0,110.0,0.0,0.0,19.0,71.0,0.0,66.0,70.0,28.0,55.0
rplo 104 (Bacteroidetes),119.0,0.0,49.0,0.0,108.0,24.0,119.0,0.0,0.0,230.0,25.0,0.0,24.0,0.0,386.0,0.0,0.0,0.0,0.0
rplo 105 (Proteobacteria),43.0,51.0,66.0,0.0,0.0,0.0,129.0,38.0,0.0,14.0,112.0,0.0,43.0,80.0,0.0,18.0,79.0,17.0,62.0
rplo 106 (Acidobacteria),0.0,0.0,0.0,24.0,0.0,23.0,45.0,40.0,38.0,852.0,0.0,0.0,22.0,28.0,0.0,0.0,0.0,36.0,0.0
rplo 107 (Actinobacteria),63.0,34.0,0.0,45.0,19.0,22.0,0.0,75.0,72.0,41.0,66.0,87.0,19.0,0.0,19.0,18.0,156.0,67.0,61.0
rplo 108 (Actinobacteria),77.0,92.0,99.0,0.0,53.0,20.0,96.0,34.0,65.0,50.0,40.0,27.0,0.0,24.0,0.0,33.0,18.0,46.0,111.0
rplo 109 (Proteobacteria),0.0,1014.0,0.0,0.0,0.0,20.0,0.0,0.0,17.0,50.0,0.0,81.0,20.0,0.0,0.0,0.0,0.0,31.0,19.0
rplo 11 (Proteobacteria),0.0,152.0,153.0,936.0,0.0,155.0,669.0,154.0,0.0,28.0,181.0,355.0,0.0,0.0,712.0,56.0,100.0,309.0,105.0
rplo 110 (Proteobacteria),0.0,0.0,0.0,0.0,80.0,22.0,155.0,38.0,19.0,0.0,23.0,0.0,88.0,82.0,40.0,38.0,41.0,18.0,0.0
rplo 111 (Actinobacteria),0.0,18.0,71.0,24.0,124.0,71.0,23.0,103.0,39.0,0.0,24.0,64.0,45.0,29.0,0.0,0.0,63.0,34.0,22.0
rplo 112 (Actinobacteria),76.0,31.0,0.0,61.0,0.0,119.0,78.0,35.0,49.0,75.0,0.0,54.0,0.0,0.0,17.0,50.0,36.0,124.0,56.0
rplo 113 (unknown),0.0,81.0,0.0,22.0,19.0,42.0,182.0,91.0,0.0,40.0,0.0,142.0,21.0,0.0,0.0,18.0,0.0,16.0,20.0
rplo 114 (Deinococcus-Thermus),75.0,20.0,26.0,76.0,0.0,26.0,23.0,0.0,21.0,32.0,26.0,0.0,25.0,0.0,0.0,0.0,89.0,159.0,48.0
rplo 115 (Acidobacteria),42.0,17.0,0.0,0.0,38.0,130.0,42.0,38.0,36.0,27.0,0.0,0.0,0.0,105.0,19.0,73.0,0.0,0.0,348.0
rplo 116 (unknown),0.0,416.0,0.0,136.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0
rplo 117 (Deferribacteres),50.0,40.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,160.0,53.0,136.0,0.0,0.0,0.0,0.0,46.0,156.0,146.0
rplo 118 (Acidobacteria),45.0,0.0,0.0,119.0,41.0,0.0,23.0,40.0,35.0,15.0,47.0,31.0,68.0,28.0,0.0,19.0,0.0,0.0,0.0
rplo 119 (Actinobacteria),0.0,17.0,21.0,44.0,57.0,22.0,63.0,37.0,36.0,14.0,22.0,29.0,21.0,26.0,19.0,0.0,39.0,67.0,61.0
rplo 12 (Gemmatimonadetes),193.0,69.0,308.0,205.0,176.0,422.0,216.0,77.0,110.0,42.0,181.0,88.0,130.0,106.0,97.0,19.0,259.0,345.0,418.0
rplo 120 (Actinobacteria),22.0,70.0,45.0,46.0,40.0,0.0,44.0,116.0,75.0,57.0,46.0,0.0,0.0,27.0,20.0,38.0,61.0,18.0,85.0
rplo 121 (Actinobacteria),0.0,69.0,22.0,46.0,20.0,45.0,22.0,39.0,18.0,70.0,23.0,0.0,61.0,27.0,20.0,19.0,100.0,69.0,21.0
rplo 122 (Cyanobacteria),0.0,0.0,0.0,51.0,0.0,25.0,0.0,43.0,0.0,0.0,25.0,67.0,0.0,0.0,22.0,21.0,22.0,38.0,47.0
rplo 123 (Cyanobacteria),0.0,0.0,122.0,25.0,0.0,25.0,0.0,148.0,0.0,0.0,126.0,0.0,0.0,0.0,43.0,41.0,0.0,19.0,158.0
rplo 124 (Chloroflexi),36.0,72.0,0.0,57.0,33.0,18.0,0.0,0.0,61.0,12.0,73.0,75.0,0.0,22.0,32.0,108.0,83.0,115.0,140.0
rplo 125 (Actinobacteria),48.0,19.0,50.0,76.0,66.0,0.0,49.0,0.0,103.0,0.0,75.0,0.0,49.0,0.0,0.0,21.0,45.0,39.0,24.0
rplo 126 (Gemmatimonadetes),22.0,17.0,22.0,46.0,179.0,0.0,44.0,58.0,0.0,28.0,46.0,0.0,22.0,0.0,0.0,55.0,119.0,17.0,0.0
rplo 127 (Acidobacteria),61.0,122.0,0.0,32.0,56.0,63.0,62.0,55.0,26.0,100.0,0.0,0.0,31.0,38.0,0.0,0.0,113.0,49.0,0.0
rplo 128 (Acidobacteria),0.0,18.0,23.0,24.0,38.0,23.0,23.0,81.0,58.0,0.0,120.0,32.0,23.0,0.0,41.0,20.0,124.0,125.0,21.0
rplo 129 (Proteobacteria),0.0,32.0,0.0,21.0,0.0,0.0,0.0,71.0,0.0,0.0,42.0,28.0,0.0,0.0,0.0,0.0,19.0,16.0,0.0
rplo 13 (Proteobacteria),22.0,18.0,0.0,0.0,21.0,0.0,0.0,0.0,593.0,335.0,71.0,0.0,586.0,2628.0,651.0,369.0,21.0,0.0,0.0
rplo 130 (Verrucomicrobia),0.0,0.0,0.0,0.0,33.0,147.0,18.0,112.0,0.0,0.0,19.0,25.0,0.0,0.0,16.0,0.0,83.0,0.0,35.0
rplo 131 (Proteobacteria),23.0,19.0,72.0,0.0,64.0,48.0,0.0,21.0,99.0,46.0,98.0,0.0,0.0,29.0,21.0,0.0,22.0,75.0,23.0
rplo 132 (Proteobacteria),0.0,67.0,65.0,22.0,0.0,22.0,21.0,19.0,0.0,0.0,309.0,88.0,21.0,53.0,19.0,73.0,39.0,68.0,0.0
rplo 133 (Proteobacteria),111.0,35.0,0.0,70.0,20.0,23.0,0.0,59.0,38.0,14.0,46.0,31.0,200.0,0.0,80.0,37.0,39.0,35.0,21.0
rplo 134 (Bacteroidetes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1014.0,0.0,0.0,20.0,0.0,0.0,0.0
rplo 135 (Actinobacteria),54.0,88.0,0.0,115.0,25.0,0.0,0.0,0.0,70.0,71.0,0.0,75.0,28.0,34.0,0.0,0.0,0.0,22.0,54.0
rplo 136 (Cyanobacteria),0.0,0.0,24.0,0.0,0.0,73.0,24.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0
rplo 137 (Proteobacteria),0.0,35.0,67.0,69.0,0.0,112.0,22.0,97.0,37.0,14.0,223.0,29.0,0.0,0.0,20.0,38.0,20.0,70.0,0.0
